table,field,type,options
T_Entreprises,id_entreprise,pk,
T_Entreprises,nom,singleLineText,
T_Entreprises,logo_url,url,
T_Entreprises,adresse,longText,
T_Entreprises,telephone,phoneNumber,
T_Entreprises,email,email,
T_Entreprises,devise_defaut,singleSelect,"FDJ,USD"
T_Entreprises,tva_applicable,checkbox,
T_Tiers,id_tier,pk,
T_Tiers,type,singleSelect,"client,fournisseur"
T_Tiers,nom,singleLineText,
T_Tiers,contact,singleLineText,
T_Tiers,telephone,phoneNumber,
T_Tiers,email,email,
T_Tiers,adresse,longText,
T_Mouvements,id_mvt,pk,
T_Mouvements,id_entreprise,linkToAnotherRecord,T_Entreprises
T_Mouvements,date,date,
T_Mouvements,type,singleSelect,"vente,depense"
T_Mouvements,montant,number,
T_Mouvements,devise,singleSelect,"FDJ,USD"
T_Mouvements,mode_paiement,singleSelect,"cash,mobile_money,carte,virement"
T_Mouvements,id_tier,linkToAnotherRecord,T_Tiers
T_Mouvements,categorie,singleSelect,"Ventes-Produits,Ventes-Services,Achats Marchandises,Fournitures,Salaires,Loyer,Transport,Marketing,Telecom-Internet,Energie,Divers"
T_Mouvements,description,longText,
T_Mouvements,piece_jointe_url,attachment,
T_Mouvements,ai_confiance,number,
T_Mouvements,statut,singleSelect,"brouillon,valide"
T_Mouvements,source,singleSelect,"form,whatsapp,csv,ocr"
T_Factures,id_facture,pk,
T_Factures,id_entreprise,linkToAnotherRecord,T_Entreprises
T_Factures,id_client,linkToAnotherRecord,T_Tiers
T_Factures,date,date,
T_Factures,due_date,date,
T_Factures,items,longText,
T_Factures,total_ht,number,
T_Factures,tva,number,
T_Factures,total_ttc,number,
T_Factures,statut,singleSelect,"brouillon,envoye,paye,retard"
T_Factures,pdf_url,url,
T_Reglements,id_regl,pk,
T_Reglements,id_facture,linkToAnotherRecord,T_Factures
T_Reglements,date_paiement,date,
T_Reglements,montant,number,
T_Reglements,mode_paiement,singleSelect,"cash,mobile_money,carte,virement"
T_Rapports,id_rapport,pk,
T_Rapports,periode,singleLineText,
T_Rapports,resume_txt,longText,
T_Rapports,pdf_url,url
